,created_at,screen_name,text,lang,retweet_count,reply_count,like_count,quote_count,id,author_id,conversation_id,in_reply_to_user_id,geo,entities
0,2018-06-10T23:55:55.000Z,None,@SubieGal16 Instant Pot... you can throw in frozen meat and out comes deliciousness within 45 minutes end to end. I've gpt nothing for the picky eaters. My little sister was a picky eater and now karma has smacked her with two picky eaters of her own.,en,0,1,0,0,1005961789715173376,3255985908,1005958663503273989,941152642356539392,nan,"{'mentions': [{'start': 0, 'end': 11, 'username': 'SubieGal16', 'id': '941152642356539392'}]}"
1,2018-06-10T22:46:46.000Z,None,"@BrooksKnudsen @PoppetNosie @VegasGamerBabe FYI, saw on GPT’s feed that Giants reported by Rosenthal to have put Gearrin on waivers in hopes another team picks him and salary up, to save $1M.  He went through, so he stayed.   So they have begun already.  Dyson good choice, for money plus ability, but will we get much 4him?",en,0,1,0,0,1005944390194364416,151185607,1005874007881609216,38484579,nan,"{'mentions': [{'start': 0, 'end': 14, 'username': 'BrooksKnudsen', 'id': '38484579'}, {'start': 15, 'end': 27, 'username': 'PoppetNosie', 'id': '3310958929'}, {'start': 28, 'end': 43, 'username': 'VegasGamerBabe', 'id': '803330952'}], 'annotations': [{'start': 56, 'end': 58, 'probability': 0.436, 'type': 'Organization', 'normalized_text': 'GPT'}, {'start': 72, 'end': 77, 'probability': 0.9499, 'type': 'Organization', 'normalized_text': 'Giants'}, {'start': 91, 'end': 99, 'probability': 0.8928, 'type': 'Person', 'normalized_text': 'Rosenthal'}, {'start': 113, 'end': 119, 'probability': 0.8238, 'type': 'Person', 'normalized_text': 'Gearrin'}, {'start': 255, 'end': 259, 'probability': 0.8232, 'type': 'Person', 'normalized_text': 'Dyson'}]}"
2,2018-06-10T20:28:21.000Z,None,"@gpt_prasanth Wandering for days. #ClawsTNT Season 2 begins tonight at 9/8c on @TNTDrama! 
Reply #stop to unsubscribe. https://t.co/X5dRzgwlgg",en,0,0,1,0,1005909556214534145,819325068287340544,1005909556214534145,998416774092677121,nan,"{'hashtags': [{'start': 34, 'end': 43, 'tag': 'ClawsTNT'}, {'start': 97, 'end': 102, 'tag': 'stop'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'gpt_prasanth', 'id': '998416774092677121'}, {'start': 79, 'end': 88, 'username': 'tntdrama', 'id': '15981505'}], 'urls': [{'start': 119, 'end': 142, 'url': 'https://t.co/X5dRzgwlgg', 'expanded_url': 'https://twitter.com/ClawsTNT/status/1005909556214534145/video/1', 'display_url': 'pic.twitter.com/X5dRzgwlgg', 'media_key': '13_997590501367824384'}], 'annotations': [{'start': 35, 'end': 42, 'probability': 0.5636, 'type': 'Other', 'normalized_text': 'ClawsTNT'}]}"
3,2018-06-10T20:13:48.000Z,None,Gave my @Uber driver that took me home at 4 am some shots abd gpt his number,en,0,1,1,0,1005905894725611520,2857016292,1005905894725611520,nan,nan,"{'mentions': [{'start': 8, 'end': 13, 'username': 'Uber', 'id': '19103481'}]}"
4,2018-06-10T19:48:44.000Z,None,@majornelson good luck gpt the live stream on and waiting to see what you got for us.......,en,0,0,0,0,1005899586945331200,172317052,1005899586945331200,15913,nan,"{'mentions': [{'start': 0, 'end': 12, 'username': 'majornelson', 'id': '15913'}]}"
5,2018-06-10T17:45:47.000Z,None,I liked a @YouTube video https://t.co/rlpJ8yEnrP How to change GPT to MBR during windows 7 installation,en,0,0,0,0,1005868643715108866,194571174,1005868643715108866,nan,nan,"{'mentions': [{'start': 10, 'end': 18, 'username': 'YouTube', 'id': '10228272'}], 'urls': [{'start': 25, 'end': 48, 'url': 'https://t.co/rlpJ8yEnrP', 'expanded_url': 'http://youtu.be/nymMWop7bPw?a', 'display_url': 'youtu.be/nymMWop7bPw?a', 'status': 200, 'unwound_url': 'https://www.youtube.com/watch?a&v=nymMWop7bPw&feature=youtu.be'}], 'annotations': [{'start': 63, 'end': 65, 'probability': 0.7638, 'type': 'Other', 'normalized_text': 'GPT'}, {'start': 70, 'end': 72, 'probability': 0.7487, 'type': 'Other', 'normalized_text': 'MBR'}, {'start': 81, 'end': 89, 'probability': 0.7994, 'type': 'Other', 'normalized_text': 'windows 7'}]}"
6,2018-06-10T17:33:18.000Z,None,@BanditaSwain2 @mvmeet @rosypatel8 How much u gpt from pappu,en,0,0,0,0,1005865502323822593,997916077060276224,1001727841652928513,747471985056243712,nan,"{'mentions': [{'start': 0, 'end': 14, 'username': 'BanditaSwain2', 'id': '1508264713188409346'}, {'start': 15, 'end': 22, 'username': 'mvmeet', 'id': '249520655'}, {'start': 23, 'end': 34, 'username': 'rosypatel8', 'id': '2902917932'}], 'annotations': [{'start': 55, 'end': 59, 'probability': 0.4564, 'type': 'Place', 'normalized_text': 'pappu'}]}"
7,2018-06-10T16:48:27.000Z,None,@real_MikeBarnes @IKN_Mark They are still trying to understand the geology and until they have a better understanding of it they will continue to keep the historical cut off. Historical production was 4 gpt.,en,0,2,0,0,1005854216915693569,38430256,988886391647072258,38430256,nan,"{'mentions': [{'start': 0, 'end': 16, 'username': 'real_MikeBarnes', 'id': '892890724206866432'}, {'start': 17, 'end': 26, 'username': 'ikn_mark', 'id': '1453218555785211905'}]}"
8,2018-06-10T16:47:08.000Z,None,"@lisaquestions @Still_Alive_44 Worked 15 yrs ago with a lady i gpt on with famously, was the only one, my daughters friend is getting married this year &amp; im going as is my male partner who thinks shes beautiful, i dont care if your trans or not, if you feel male or female that is how i will identify with you",en,0,0,1,0,1005853882172485632,554547123,1005848814870122496,16279337,nan,"{'mentions': [{'start': 0, 'end': 14, 'username': 'lisaquestions', 'id': '16279337'}]}"
9,2018-06-10T16:18:58.000Z,None,@Cimorelliband now i gpt to hold breath for 42 minutes but finally get out of this rollercoaster https://t.co/0ZMCvOTaN1,en,0,0,1,0,1005846797670076416,859947442887958528,1005846797670076416,21257976,nan,"{'mentions': [{'start': 0, 'end': 14, 'username': 'Cimorelliband', 'id': '21257976'}], 'urls': [{'start': 97, 'end': 120, 'url': 'https://t.co/0ZMCvOTaN1', 'expanded_url': 'https://twitter.com/MinnesotaCimFan/status/1005846797670076416/photo/1', 'display_url': 'pic.twitter.com/0ZMCvOTaN1', 'media_key': '3_1005846790657077251'}]}"
